市场,代码,名称,板块,细分行业,最新价,货币,总市值(亿),市盈率TTM,市净率,市销率,股息率%,52周位置,距52周高点%,250日涨跌幅%,60日涨跌幅%,营收同比%,净利同比%,最新季营收同比%,毛利率%,净利率%,ROE%,估值得分,成长得分,位置得分,质量得分,综合机会分,数据完整度,标签,最新报告期
美股,AMZN,亚马逊,可选消费,电商零售,266.43,USD,28738.0,21.24,5.21,4.01,,0.7936,-6.19,16.34,6.56,12.377754683294697,31.09303267620848,19.620517346245126,,10.83,,39.6,84.0,19.4,61.5,54.3,4,低估+正增长,2025-12-31(财年)
美股,SHAK,Shake Shack,可选消费,快餐,69.89,USD,29.9,75.3,5.5,2.07,,0.3271,-34.07,-34.07,25.86,15.383743357858163,347.9768786127168,,,3.16,,32.1,94.5,71.0,19.2,54.1,4,低位+正增长,2025-12-31(财年)
美股,SJM,盛美家,可选消费,食品,132.34,USD,141.4,61.6,2.46,,,1.0,0.0,19.75,30.68,,88.73090672733181,,,,,41.8,91.1,6.5,,53.7,3,-,nan(财年)
美股,BURL,伯灵顿,可选消费,服装零售,272.95,USD,171.5,24.01,8.56,1.48,,0.2352,-26.66,-6.1,-16.96,8.764480612418279,21.148878462549565,,,5.27,,46.8,71.8,64.2,30.8,53.7,4,低位+正增长,2026-01-31(财年)
美股,NKE,耐克,可选消费,运动服饰,39.6,USD,587.5,18.9,3.95,1.27,,0.0294,-49.18,-48.82,-9.61,0.1921872638148092,-3.4482758620689653,0.0887390185464548,,6.7,,68.0,25.6,93.2,38.5,53.2,4,低位+低估+正增长,2026-05-31(财年)
美股,PZZA,棒约翰,可选消费,披萨,23.72,USD,7.8,28.33,-1.72,0.38,,0.0153,-57.11,-51.3,-25.55,14.07358344262241,-63.429796612605706,,,1.48,,61.0,48.9,96.8,11.5,52.8,4,低位+正增长,2021-12-26(财年)
美股,CLX,高乐氏,可选消费,个人护理及家居,102.53,USD,124.0,21.12,137.77,2.02,,0.3999,-19.37,-13.26,15.81,2.528042859534572,189.28571428571428,4.025423728813559,,13.23,,35.7,54.8,56.1,76.9,52.7,4,低估+正增长,2018-06-30(财年)
美股,KMB,金佰利,可选消费,个人护理及家居,109.55,USD,319.1,18.66,1.7,1.94,,0.4351,-16.35,-15.17,15.61,-2.1303183576316576,-20.589390962671903,0.624549603651213,,12.29,,69.5,18.7,55.5,71.2,52.5,4,低估+负增长,2025-12-31(财年)
美股,WMT,沃尔玛,可选消费,商超零售,103.09,USD,4572.6,37.35,0.87,0.64,,0.1833,-23.18,6.3,-11.81,4.725214211766779,12.641490018522331,5.938489983201993,,3.07,,65.8,55.6,61.0,17.3,52.3,4,低位+正增长,2026-01-31(财年)
美股,DRI,达登餐饮,可选消费,休闲餐饮,215.63,USD,244.8,20.29,11.09,1.85,,0.7939,-5.29,4.2,8.76,9.391638444276996,14.967606707317074,,,9.13,,44.4,72.7,24.2,53.8,51.7,4,低估+正增长,2026-05-31(财年)
美股,KHC,卡夫亨氏,可选消费,食品,25.7,USD,304.8,-8.97,0.85,,,0.6642,-8.12,-8.12,12.92,,-313.0466472303207,,,,,96.4,1.8,40.3,,50.4,3,亏损/无PE,nan(财年)
美股,FIVE,Five Below,可选消费,杂货零售,241.89,USD,132.5,30.5,3.29,2.78,,0.8323,-7.93,66.71,8.52,22.89729956737048,41.41381880123497,,,7.53,,40.6,90.1,7.4,40.4,50.4,4,正增长,2026-01-31(财年)
美股,BROS,荷兰兄弟,可选消费,咖啡餐饮,49.91,USD,87.2,94.38,10.93,5.32,,0.1169,-32.77,-30.52,-11.82,27.87976721584056,126.45073458505873,32.4756561242674,,4.87,,9.0,95.5,87.7,25.0,50.0,4,低位+正增长,2025-12-31(财年)
美股,EAT,布林克餐饮,可选消费,休闲餐饮,230.19,USD,96.1,19.74,21.67,1.66,,0.8434,-9.35,47.58,64.12,7.86003491697931,27.12085617332289,,,8.39,,44.1,69.8,7.4,48.1,47.1,4,低估+正增长,2026-06-24(财年)
美股,TAP,摩森康胜,可选消费,酒类,41.46,USD,73.3,-3.18,0.72,0.62,,0.19,-23.76,-17.88,7.35,-9.880007071972695,-290.6272273699216,-11.100165497675151,,-18.25,,95.4,3.9,77.1,3.8,46.9,4,低位+亏损/无PE+负增长,2020-12-31(财年)
美股,PEP,百事,可选消费,饮料,141.07,USD,1925.5,18.42,8.71,2.05,,0.2079,-15.82,-1.28,0.01,2.254665011866658,-13.969513468365005,,,8.77,,49.2,31.8,63.2,50.0,46.2,4,低位+低估+正增长,2025-12-27(财年)
美股,WEN,温迪,可选消费,快餐,8.27,USD,15.8,12.51,13.09,0.72,,0.473,-22.05,-22.05,20.73,-3.0982082286516044,-15.066089721491894,,,7.58,,61.3,20.7,58.4,42.3,44.9,4,低估+负增长,2025-12-28(财年)
美股,HD,家得宝,可选消费,家居零售,330.19,USD,3294.3,23.16,19.82,4.98,,0.2596,-22.02,-18.83,5.5,-7.170912355515655,-4.390112116709442,,,21.39,,21.7,23.3,71.0,94.2,44.1,4,低位+负增长,2010-01-31(财年)
美股,CMG,奇波雷,可选消费,快餐,38.03,USD,481.2,33.9,21.88,4.04,,0.6922,-10.33,-9.75,32.32,5.407070429499128,0.1076194014770779,9.308926409376792,,12.88,,14.9,56.7,39.7,75.0,43.2,4,正增长,2025-12-31(财年)
美股,HRL,荷美尔,可选消费,食品,21.57,USD,118.7,34.64,1.51,,,0.2703,-18.63,-15.21,-6.74,,-40.59944996385264,,,,,52.4,19.6,65.8,,42.6,3,低位,nan(财年)
美股,COST,开市客,可选消费,商超零售,945.47,USD,4193.0,47.44,12.51,1.52,,0.3908,-13.6,0.23,-1.7,8.167323631476146,9.936201981810775,,,2.94,,30.5,66.4,48.7,15.4,41.0,4,正增长,2025-08-31(财年)
美股,TGT,塔吉特,可选消费,商超零售,163.18,USD,741.3,16.88,4.15,1.02,,0.9222,-3.95,70.01,30.75,1.878533649461973,-9.43534588120264,,,5.1,,72.7,31.7,1.9,28.8,41.0,4,低估+正增长,2015-01-31(财年)
美股,ROST,罗斯百货,可选消费,服装零售,228.55,USD,733.1,27.57,10.87,3.22,,0.7587,-10.45,55.31,-1.75,7.673449738014453,2.5978485983364665,,,9.43,,26.2,57.3,15.8,57.7,40.3,4,正增长,2026-01-31(财年)
美股,DEO,帝亚吉欧,可选消费,酒类,92.99,USD,517.6,29.8,4.76,1.85,,0.5734,-14.57,-14.3,18.2,0.2617331755763508,-39.07825252040327,,,9.08,,46.0,20.0,48.1,51.9,39.7,4,正增长,2025-06-30(财年)
美股,LW,蓝威斯顿,可选消费,食品,54.98,USD,75.6,26.06,4.14,,,0.5874,-17.41,-4.43,31.09,,-18.81298992161254,,,,,46.7,28.6,40.3,,38.7,3,-,nan(财年)
美股,MNST,怪物饮料,可选消费,饮料,46.86,USD,918.0,43.14,9.8,11.07,,0.836,-6.22,50.17,5.26,10.698854045979898,,20.1686593960105,,,,11.8,85.3,7.7,,38.6,3,正增长,2025-12-31(财年)
美股,CHD,切迟杜威,可选消费,个人护理及家居,101.26,USD,240.2,32.25,5.52,3.87,,0.8309,-3.8,8.69,9.01,1.5735782941166838,25.884161968221424,1.5733917546305518,,11.88,,29.2,40.0,18.1,67.3,38.4,4,正增长,2025-12-31(财年)
美股,HSY,好时,可选消费,零食,179.05,USD,359.8,24.16,7.88,4.41,,0.2926,-23.28,0.58,-1.48,2.046855020352476,-60.2357513081663,,,10.84,,30.7,21.0,52.9,63.5,37.7,4,低位+正增长,2020-12-31(财年)
美股,CL,高露洁,可选消费,个人护理及家居,90.75,USD,723.4,35.5,306.54,4.68,,0.6527,-8.46,7.95,6.93,1.7045080618624548,-26.20283835237106,6.379585326953747,,13.8,,10.7,35.4,30.3,78.8,34.7,4,正增长,2017-12-31(财年)
美股,CROX,卡骆驰,可选消费,服装鞋帽,122.23,USD,58.6,9.88,4.23,1.45,,0.7204,-13.43,40.17,3.17,-1.4982784461062455,-108.54651915488422,2.618384110293177,,-2.01,,73.0,15.8,18.7,7.7,34.6,4,低估+负增长,2025-12-31(财年)
美股,CAVA,CAVA,可选消费,快餐,66.94,USD,78.2,118.02,9.29,6.63,,0.434,-31.27,-0.9,-6.15,22.40822734569317,-51.086948181002,,,5.4,,10.8,55.3,47.4,32.7,34.0,4,正增长,2025-12-28(财年)
美股,QSR,餐饮品牌国际,可选消费,快餐,78.26,USD,272.9,21.44,7.09,2.89,,0.8279,-4.18,23.57,7.56,12.229359980965976,-32.391955498502355,4.564315352697095,,1.67,,38.5,50.7,13.9,13.5,33.5,4,正增长,2025-12-31(财年)
美股,CAG,康尼格拉,可选消费,食品,16.09,USD,77.2,-4.03,1.21,5.15,,0.4718,-19.63,-15.89,27.9,-6.25,-266.27906976744185,,,-127.75,,50.2,6.4,55.5,1.9,28.2,4,亏损/无PE+负增长,2016-05-29(财年)
美股,GIS,通用磨坊,可选消费,食品,41.55,USD,222.1,-253.58,3.01,10.9,,0.5839,-14.63,-11.39,31.65,4.1074895269234695,-103.8166608574416,,,-4.3,,33.1,24.8,45.2,5.8,27.0,4,亏损/无PE+正增长,2024-05-26(财年)
美股,EL,雅诗兰黛,可选消费,美妆,103.39,USD,374.1,205.53,9.83,2.49,,0.6903,-13.56,12.71,26.01,5.046768113918749,-61.68067226890757,4.563380281690141,,4.55,,20.7,34.5,27.1,23.1,26.3,4,正增长,2026-06-30(财年)
美股,SBUX,星巴克,可选消费,咖啡餐饮,107.85,USD,1229.5,62.01,-16.02,3.31,,0.9767,-0.64,22.29,12.47,2.786915154162129,-50.639474593847225,,,4.99,,18.3,25.6,6.8,26.9,20.5,4,正增长,2025-09-28(财年)
美股,KO,可口可乐,可选消费,饮料,89.66,USD,3857.7,26.95,10.67,,,0.9115,-2.53,29.96,13.84,,,,,,,26.2,,7.4,,,2,数据不足,nan(财年)
美股,MDLZ,亿滋国际,可选消费,零食,62.36,USD,795.9,22.64,2.99,,,0.8049,-4.05,1.5,1.71,,,,,,,55.4,,24.5,,,2,数据不足,nan(财年)
美股,UL,联合利华,可选消费,个人护理及家居,65.07,USD,1401.8,13.04,7.59,,,0.5128,-12.76,2.96,17.65,,,,,,,59.2,,39.4,,,2,低估+数据不足,nan(财年)
美股,ONON,昂跑,可选消费,运动服饰,28.85,USD,96.4,19.51,4.08,,,0.0009,-43.02,-36.0,-23.11,,,,,,,60.5,,95.8,,,2,低位+低估+数据不足,nan(财年)
